user_id,name,phone_number,city_id
88,Dadap Saragih,+62 (565) 739-0202,3471
89,Harjasa Prasetya,(0492) 397 4414,3471
90,Lalita Kuswandari,(047) 035-3937,7371
91,Margana Nababan,+62 (0978) 873 3786,3578
92,Hasim Anggraini,+62-54-473-7801,5171
93,Pia Safitri,+62 (0547) 912-6268,5171
94,Kajen Wibowo,+62 (91) 471 8212,7371
95,Jasmin Namaga,+62 (408) 190-1182,3171
96,Shania Pangestu,(0746) 930-3444,1375
97,Fitriani Permadi,+62-0715-391-7953,3174
98,"Fathonah Tampubolon, S.H.",+62 (046) 377-6032,3471
99,Gawati Usamah,+62 (067) 086 0456,3173
100,"Ir. Diah Januar, M.Kom.",+62 (693) 774 7656,3172
